Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.41923822362336	0.27758708460263	0.2033	0.0085
Adrenal Pancreas	3.49788964004245	0.364629615767985	0.2035	0.0085
Cardiovascular	2.19340265040685	0.297866046796798	0.2034	0.0085
CNS	2.8220932541478	0.211372059135437	0.2044	0.0085
Connective Bone	1.95561937083027	0.27189337624473	0.2038	0.0085
GI	1.58164727958994	0.193232379403623	0.2031	0.0084
Hematopoietic	1.61674191224115	0.14216956712042	0.2029	0.0085
Kidney	2.41504683106174	0.552044684848799	0.2032	0.0085
Liver	2.13813680756177	0.327633436359091	0.2032	0.0085
Other	1.69241475451286	0.184872378454125	0.2033	0.0085
