Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.3655333770402	0.279617371489558	0.2127	0.0093
Adrenal Pancreas	2.66673897641632	0.339468319061856	0.2127	0.0093
Cardiovascular	1.95005024182878	0.32566464966423	0.2129	0.0093
CNS	2.70053638205683	0.226351909563447	0.2137	0.0093
Connective Bone	2.04486217689468	0.271128467373094	0.2127	0.0093
GI	1.30932018602015	0.218026997509313	0.2124	0.0093
Hematopoietic	1.60174288371163	0.164797280779759	0.2122	0.0093
Kidney	1.59543140459309	0.439067674015355	0.2124	0.0093
Liver	1.89547023765402	0.29843635861127	0.2127	0.0093
Other	1.71785263913611	0.207385461728894	0.2127	0.0093
