Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.58915765867916	1.20197729818797	0.0297	0.0041
Adrenal Pancreas	2.46253743352364	1.41499987768636	0.0296	0.0041
Cardiovascular	3.80733936743853	1.23818767081832	0.0295	0.0041
CNS	2.21322438789487	0.767458073073081	0.0294	0.0041
Connective Bone	3.77220383483035	1.16939034684847	0.0293	0.0041
GI	3.53291889330975	0.949919790457929	0.0296	0.0041
Hematopoietic	2.52559202900696	0.589228484814086	0.0295	0.004
Kidney	7.24529961712969	2.23097498047434	0.0297	0.0041
Liver	5.59206685937364	1.49512162851145	0.0294	0.0041
Other	3.87098353031354	0.893067444630289	0.0294	0.0041
