Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.04445719255218	0.47825269411277	0.204	0.0106
Adrenal Pancreas	4.04414890823863	0.516835582846275	0.2034	0.0107
Cardiovascular	3.98529329409849	0.424365791455228	0.2029	0.0106
CNS	2.70480409852885	0.316667499117699	0.2031	0.0107
Connective Bone	3.97329634969917	0.429648012682284	0.2019	0.0106
GI	3.1381835265426	0.320667666494635	0.2034	0.0107
Hematopoietic	2.21649913469955	0.198152613644976	0.2031	0.0106
Kidney	5.03443698260228	1.04696130854371	0.2035	0.0107
Liver	4.01247291662138	0.520212806137282	0.2029	0.0107
Other	3.96786455391307	0.317634973914484	0.2026	0.0107
