Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.04641610672071	0.343077483136096	0.1717	0.0078
Adrenal Pancreas	2.84228728668185	0.372055446536442	0.1714	0.0078
Cardiovascular	2.85203238067377	0.355931510812337	0.1714	0.0078
CNS	2.60841314195163	0.250098981086305	0.1718	0.0078
Connective Bone	2.89403055727284	0.32639134368196	0.1707	0.0078
GI	1.86708620088883	0.223591287404217	0.1713	0.0078
Hematopoietic	1.84019670897726	0.179611983598402	0.171	0.0077
Kidney	2.45455275886475	0.540517750008066	0.1712	0.0078
Liver	2.6380370485491	0.368096697500102	0.1714	0.0078
Other	2.50738052927332	0.258430223322017	0.1712	0.0078
