Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.02030635966553	2.6229284118129	0.0101	0.0032
Adrenal Pancreas	6.06345979204527	2.87092980088744	0.0101	0.0032
Cardiovascular	4.34422043878659	2.71534743260015	0.0101	0.0031
CNS	4.36137865587085	1.97696062593764	0.0101	0.0032
Connective Bone	3.79221233696222	2.18277477390563	0.0101	0.0032
GI	3.5765336152497	2.09541997406451	0.0101	0.0032
Hematopoietic	3.44556067847718	1.53879081975043	0.0101	0.0032
Kidney	8.75727258210385	4.77988354766359	0.0102	0.0032
Liver	6.21121578494671	3.05395775083458	0.0101	0.0032
Other	4.07953950123729	2.02369562956331	0.0101	0.0031
