Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.64106193902856	0.256534474424924	0.2447	0.0096
Adrenal Pancreas	3.72451347822854	0.328044161446989	0.2448	0.0097
Cardiovascular	2.2450867571996	0.275178890182194	0.2447	0.0097
CNS	2.87679668196663	0.187754574441933	0.2457	0.0096
Connective Bone	2.45490911927247	0.239608217551278	0.2442	0.0096
GI	1.46360380957002	0.17772758228141	0.2442	0.0096
Hematopoietic	1.76697138217428	0.143447069108353	0.2441	0.0096
Kidney	2.70917709036749	0.513530321946983	0.2445	0.0096
Liver	2.37089306621885	0.309429668424643	0.2445	0.0096
Other	1.83515197217193	0.183385630065417	0.2446	0.0096
