Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.74928752841116	0.274073336315588	0.265	0.0108
Adrenal Pancreas	2.96933257669396	0.364380013055944	0.2648	0.0108
Cardiovascular	2.30628116594962	0.32842681938005	0.2648	0.0108
CNS	2.59840651444542	0.207734178296142	0.2653	0.0108
Connective Bone	2.67581644431115	0.282615145958806	0.2635	0.0108
GI	1.64940801229594	0.206600751322355	0.2644	0.0107
Hematopoietic	1.73693178757903	0.161449056982655	0.2642	0.0107
Kidney	2.57318383399994	0.476136106578151	0.2646	0.0108
Liver	2.49911954129593	0.300999123408094	0.2646	0.0108
Other	2.04762715644351	0.207336970765355	0.2646	0.0108
