Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.18297354155316	2.35777431484778	0.0117	0.0034
Adrenal Pancreas	4.37862124461718	2.58088426085562	0.0118	0.0034
Cardiovascular	3.34400829416071	2.33807510880037	0.0118	0.0034
CNS	4.20574631036538	1.64008934457072	0.0119	0.0034
Connective Bone	2.83865114248014	1.95905258485478	0.0119	0.0034
GI	2.49228382820309	1.76784660984574	0.0118	0.0034
Hematopoietic	3.51688592827857	1.36881758310542	0.0116	0.0034
Kidney	7.35290176328154	4.24600233065623	0.0118	0.0034
Liver	4.91449428340656	2.74427998168466	0.0117	0.0034
Other	2.79880345933125	1.73186815742364	0.0118	0.0034
