Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.55199359895654	0.258481281168681	0.234	0.0091
Adrenal Pancreas	3.38778996369136	0.340912510332808	0.2342	0.0091
Cardiovascular	2.03667461575339	0.265728147005666	0.2342	0.0091
CNS	2.92029595959877	0.196996372151016	0.2352	0.009
Connective Bone	2.19781082009721	0.246024222906603	0.234	0.0091
GI	1.47400952709643	0.176639479412196	0.2337	0.0091
Hematopoietic	1.70713728399739	0.136533201307484	0.2335	0.0091
Kidney	2.40731533843169	0.462222676978474	0.2338	0.0091
Liver	2.08869627215209	0.313670541374972	0.234	0.0091
Other	1.79152041323226	0.177687011584541	0.234	0.0091
