Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	2.60869085437426	0.279972442208326	0.2351	0.0102
Adrenal Pancreas	2.56270441999136	0.330212100857842	0.2349	0.0102
Cardiovascular	2.1047264753012	0.319225159213935	0.2351	0.0102
CNS	2.63985388784369	0.203356816657406	0.2358	0.0102
Connective Bone	2.15393143678008	0.251885749343557	0.2347	0.0102
GI	1.46884358206172	0.209755750147662	0.2346	0.0102
Hematopoietic	1.57523457344428	0.155420731943497	0.2344	0.0102
Kidney	1.84836334963831	0.451898841117157	0.2346	0.0102
Liver	1.93652781095271	0.291182925491389	0.2349	0.0102
Other	1.8774703558353	0.204250301007983	0.2348	0.0102
