Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	3.93521072704391	1.0016172091483	0.0435	0.0048
Adrenal Pancreas	3.04905378161995	1.14005744486595	0.0433	0.0048
Cardiovascular	4.39686097771733	1.08115856288784	0.0431	0.0048
CNS	2.33526158778257	0.611314983078718	0.0431	0.0048
Connective Bone	4.05881979564547	0.938337461046031	0.0429	0.0048
GI	3.47416377194811	0.775125352293027	0.0433	0.0048
Hematopoietic	2.48709227362026	0.472709735111381	0.0431	0.0047
Kidney	5.90099179696709	1.77233347236034	0.0434	0.0048
Liver	5.01120400107573	1.18444218261909	0.0432	0.0048
Other	4.09995528891893	0.731240591709212	0.043	0.0048
