Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	5.4881285054315	0.583130597289861	0.206	0.012
Adrenal Pancreas	4.52329260512432	0.634790078892127	0.2045	0.0121
Cardiovascular	4.89569013182297	0.548342634599323	0.2039	0.012
CNS	2.78684211825615	0.357277521082353	0.2036	0.0121
Connective Bone	5.41796959309252	0.54489798803084	0.2016	0.012
GI	3.90656775321763	0.428169479867049	0.2046	0.0121
Hematopoietic	2.62997788771613	0.262400187130466	0.2042	0.012
Kidney	7.05922667609685	1.25585357205378	0.2047	0.0121
Liver	5.31444253618637	0.701863910893812	0.2039	0.012
Other	5.2123983077262	0.430383742954838	0.2034	0.012
