Type	Enrichment	Enrichment.SE	h2	h2.se
Skeletal Muscle	4.44694375445689	0.430679881776062	0.134	0.0075
Adrenal Pancreas	3.34216916248544	0.513005961780289	0.1333	0.0075
Cardiovascular	4.38774605804508	0.449256232009917	0.1331	0.0075
CNS	2.34464881735512	0.300029134866195	0.1329	0.0075
Connective Bone	4.21464656802036	0.416306839373187	0.1321	0.0075
GI	2.94978899607046	0.270116165404587	0.1334	0.0075
Hematopoietic	1.92345224800848	0.227487963250544	0.1331	0.0074
Kidney	3.99999713578597	0.81833724758897	0.1333	0.0075
Liver	3.96012079997885	0.582311844165556	0.1332	0.0074
Other	3.61533582367182	0.256959552616594	0.1329	0.0074
