phenotype	perc	ah_r2	ah_r2_se	ah_inc_r2	ah_inc_r2_se
height	50	0.60816742	0.001665002	0.074790654	0.001422179
height	60	0.61135758	0.002109338	0.077554272	0.001698427
height	70	0.61576778	0.001326381	0.08199443	0.001073352
height	80	0.61999784	0.000707934	0.085361998	0.001180468
height	90	0.62174198	0.001157886	0.089744338	0.00118874
height	100	0.63442	0.001333942	0.1007	0.001267675
bmi	50	0.033578508	0.001379059	0.023034754	0.001181004
bmi	60	0.038937796	0.001057134	0.028137806	0.000458767
bmi	70	0.043026898	0.00095559	0.032277288	0.001032671
bmi	80	0.047017578	0.001381731	0.036983216	0.001540507
bmi	90	0.049193192	0.00060069	0.038793824	0.000529449
bmi	100	0.06902	0.001314686	0.05838	0.001203079


