"pheno"	"m_var"	"f_var"	"m_varse"	"f_varse"
"height"	46.882111223888	39.989247108443	-2.2851935994776e-16	2.14235190540338e-16
"bmi"	17.9484858893981	26.8431908249097	7.1410052551298e-18	-4.64175965809219e-17
"testosterone"	13.8783016551504	0.507760195698084	-7.67683535826725e-17	-5.4675262448913e-18
"RBC_count"	0.146139756509667	0.115136699963165	-3.90537345692195e-19	5.16064744117845e-19
"IGF1"	30.8009108000946	33.5027059641566	-1.35682954534513e-16	2.85643206781695e-17
"creatinine"	366.610205042397	189.010159716549	-6.28497379048734e-16	-6.57009096188482e-16
"weight"	205.69183918449	198.183412654523	1.42819342337668e-16	-1.31398768177985e-15
"calcium"	0.00801816211645366	0.00949692846238838	1.04610828176657e-20	-7.67122587027468e-20
"protein_total"	16.797001747943	17.0026341632206	-6.42708997252788e-17	-1.53536353024486e-16
"whole_body_fat_mass"	67.6826018277217	100.864133581781	-4.8560459675035e-16	2.71366522005128e-16
"urate"	5158.95063113659	4392.37989335393	3.93052715050145e-14	1.27971166290672e-14
"arm_fatfree_mass_L"	0.358620303567974	0.127501842616956	2.78954030779935e-18	1.8131852381919e-19
"arm_fatfree_mass_R"	0.331174911379061	0.0986915366529831	2.28741921323135e-18	3.06851562108286e-19
"eosinophil_perc"	3.79281684352835	3.22826062782643	-2.67801317869652e-18	-1.02657535071427e-17
"lymphocyte_perc"	56.3834430629483	54.2920753760974	-3.07072706048971e-16	1.14257745819955e-16
"waist_circ"	128.57735321132	157.474984435571	-2.99933008390861e-16	-1.37111549226725e-15
"hip_circ"	58.0598437177024	107.575796014812	5.71289410139892e-17	-7.1410433933762e-17
"waist_to_hip"	0.0042633073991456	0.00495315460964359	4.00996992876136e-20	6.10214602644055e-21
"wth_bmi_adj"	0.00277444396132109	0.00400039161230374	1.56911376282419e-20	-3.31257911551173e-20
"diastolicBP_auto"	111.714199865122	111.598700591033	-5.4273282607742e-16	-5.71293905004645e-17
"systolicBP_auto"	342.843464920251	410.633387483419	-9.14071991470125e-16	-4.57031412335094e-16
"albumin"	6.87327068966677	6.7810974428575	8.03401910488613e-18	-1.51752014304456e-17
"pulse_rate"	150.808647909232	121.45773504816	6.85559510027519e-16	1.28542180833022e-16
