phenotype	raw estimate slope (f/m)	raw r^2	posterior slope (f/m)	posterior r^2	alpha	female pheno var	male pheno var	m or f greater var
albumin	0.02782	0.00085	0.11565	0.0136	1.158	6.781	6.873	m
arm_fatfree_mass_L	0.02945	0.00311	0.18013	0.0576	0.625	0.128	0.359	m
arm_fatfree_mass_R	0.02537	0.00274	0.19824	0.0648	0.581	0.099	0.331	m
bmi	0.04299	0.00162	0.24055	0.049	1.277	26.843	17.948	f
calcium	0.04353	0.00184	0.10591	0.011	1.102	0.009	0.008	f
creatinine	0.02281	0.00112	0.04672	0.00331	1.083	189.010	366.610	m
diastolicBP_auto	0.02628	0.00084	0.09814	0.00989	1.387	111.599	111.714	m
eosinophil_perc	0.01696	0.00039	0.10667	0.0121	0.934	3.228	3.793	m
FVC_best	0.01916	0.00126	0.10406	0.0168	0.783	0.276	0.545	m
HbA1c	0.01477	0.00053	0.07299	0.00912	0.814	35.797	57.558	m
height	0.08045	0.00884	0.43347	0.223	0.981	39.989	46.882	m
hip_circ	0.05285	0.00188	0.20162	0.0322	1.47	107.576	58.060	f
IGF1	0.05627	0.004	0.17102	0.0318	1.076	33.503	30.801	f
lymphocyte_perc	0.01787	0.00039	0.14675	0.0221	1.143	54.292	56.383	m
protein_total	0.03268	0.00127	0.12299	0.0158	1.154	17.003	16.797	f
pulse_rate	0.00656	0.00006	0.10734	0.013	1.044	121.458	150.809	m
RBC_count	0.04222	0.00263	0.21317	0.0493	1.117	0.115	0.146	m
SHBG	0.03585	0.0035	0.23780	0.0355	1.825	961.182	283.780	f
systolicBP_auto	0.03248	0.0012	0.10392	0.0106	1.357	410.633	342.843	f
testosterone	-0.00019	1.36E-06	0.00206	2.28E-05	0.412	0.508	13.878	m
urate	0.03888	0.00226	0.28054	0.0745	1.231	4392.380	5158.951	m
urea	0.01989	0.00059	0.07843	0.00711	1.003	1.773	2.110	m
waist_circ	0.04630	0.00218	0.19203	0.0346	1.183	157.475	128.577	f
waist_to_hip	0.03707	0.00142	0.13258	0.0164	1.196	0.005	0.004	f
weight	0.04158	0.00238	0.19442	0.0417	1.023	198.183	205.692	m
whole_body_fat_mass	0.04614	0.00197	0.20701	0.037	1.292	100.864	67.683	f
wth_bmi_adj	0.03240	0.00085	0.08702	0.00641	1.555	0.004	0.003	f
